comp_id,event,name,sex,division,bw,dots,team,s,b,d,total
IPLCN_002,Deadlift Only,Unknown,Unknown,無畏束方,,1.0,,,1.0,51.0,1.0
IPLCN_004,Full Power,彭晓彬,M,青年组120-23,,0.0,DK&南门,190.0,122.5,300.0,612.5
IPLCN_004,Full Power,许有臣,M,公开组Open,,0.0,DK&南门,180.0,135.0,245.0,560.0
IPLCN_004,Full Power,成柏坚,M,公开组Open,,0.0,,240.0,140.0,255.0,635.0
IPLCN_004,Full Power,胡咸辉,M,公开组Open,,0.0,,210.0,125.0,210.0,545.0
IPLCN_004,Full Power,朴大河,M,公开组Open,,0.0,,240.0,150.0,250.0,640.0
IPLCN_004,Full Power,林皓然,M,青年组J20-23,,0.0,,175.0,120.0,225.0,520.0
IPLCN_004,Full Power,李小莉,F,公开组Open,,0.0,奥世战队,117.5,60.0,117.5,295.0
IPLCN_004,Full Power,祝博宇,M,青年组J20-23,,0.0,,200.0,115.0,230.0,545.0
IPLCN_004,Full Power,黎学勤,M,公开组Open,,0.0,石基,250.0,155.0,250.0,655.0
IPLCN_004,Full Power,杨兆坤,M,大师组M40-44,,0.0,野猪乐呵呵,170.0,115.0,210.0,495.0
IPLCN_004,Full Power,关泳恒,M,公开组Open,,0.0,,205.0,122.5,240.0,567.5
IPLCN_004,Full Power,李义鹏,M,公开组Open,,0.0,奥世战队,240.0,155.0,245.0,640.0
IPLCN_004,Full Power,冯玉辉,M,公开组Open,,0.0,进辉力量,172.5,97.5,205.0,475.0
IPLCN_004,Full Power,舒坦,M,公开组Open,,0.0,GINOURGLADIATORS,200.0,145.0,230.0,575.0
IPLCN_004,Full Power,温贤进,M,公开组Open,,0.0,进辉力量,205.0,140.0,220.0,565.0
IPLCN_004,Full Power,钟意,M,青年组120-23,,0.0,光之巨人战队,190.0,107.5,215.0,512.5
IPLCN_004,Full Power,蒋正福,M,公开组Open,,0.0,GINOURGLADIATORS,160.0,110.0,200.0,470.0
IPLCN_004,Full Power,林佳宁,M,公开组Open,,0.0,奥世战队,200.0,150.0,240.0,590.0
IPLCN_004,Full Power,刘家乐,M,青年组J20-23,,0.0,,147.5,115.0,185.0,447.5
IPLCN_004,Full Power,叶舒婷,F,公开组Open,,0.0,GINOURWARRIORS,95.0,52.5,105.0,252.5
IPLCN_004,Full Power,蔡松轩,M,公开组Open,,0.0,,150.0,107.5,177.5,435.0
IPLCN_004,Full Power,黄睿,F,公开组Open,,0.0,,96.0,57.5,112.5,266.0
IPLCN_004,Full Power,MattMoore,M,公开组Open,,0.0,On,110.0,90.0,160.0,360.0
IPLCN_004,Full Power,Kimbo,F,公开组Open,,0.0,GINOURWARRIORS,100.0,50.0,120.0,270.0
IPLCN_004,Full Power,许佳妮,F,公开组Open,,0.0,,90.0,40.0,100.0,230.0
IPLCN_004,Full Power,NourBani Hani,M,大师组M45-49,,0.0,GINOURGLADIATORS,125.0,100.0,210.0,435.0
IPLCN_004,Full Power,罗少青,F,公开组Open,,0.0,,70.0,35.0,92.5,197.5
IPLCN_004,Full Power,梁雅蓉,F,公开组Open,,0.0,GINOURWARRIORS,95.0,52.5,105.0,252.5
IPLCN_004,Full Power,唐饶璐,F,青年组120-23,,0.0,,95.0,40.0,100.0,235.0
IPLCN_004,Full Power,陈诗敏,F,公开组Open,,0.0,GINOURWARRIORS,8.0,37.5,100.0,145.5
IPLCN_004,Full Power,郑思晴,F,青年组120-23,,0.0,GINOURWARRIORS,60.0,27.5,80.0,167.5
IPLCN_004,Bench Only,Sergey,M,公开组Open,,0.0,GINOURGLADIATORS,,180.0,,180.0
IPLCN_004,Bench Only,易倪俊威,M,公开组Open,,0.0,GINOURGLADIATORS,,140.0,,140.0
IPLCN_004,Bench Only,李靖海,M,青年组J20-23,,0.0,奥世战队,,117.5,,117.5
IPLCN_004,Bench Only,黄奥林,M,青年组J20-23,,0.0,奥世战队,,142.5,,142.5
IPLCN_004,Bench Only,叶健豪,M,公开组Open,,0.0,奥世战队,,135.0,,135.0
IPLCN_004,Bench Only,林佳宁,M,公开组Open,,0.0,奥世战队,,160.0,,160.0
IPLCN_004,Bench Only,陈学文,F,公开组Open,,0.0,Five·Star,,55.0,,55.0
IPLCN_005,Deadlift Only,Unknown,Unknown,Unknown,,0.0,,,,,50.0
IPLCN_007,Deadlift Only,中国张孔,Unknown,Unknown,,0.0,,,,,155.0
IPLCN_019,Deadlift Only,Unknown,Unknown,魔兽健身食品,,0.0,,,1.0,,50.0
IPLCN_020,Deadlift Only,Unknown,Unknown,Unknown,,0.0,,,,,10.0
IPLCN_025,Full Power,马何鑫,M,Open,,294.68,,147.5,115.0,187.5,450.0
IPLCN_029,Deadlift Only,"""ZKCI",Unknown,康比特 CPT,,0.0,,,155.0,,1551801.0
IPLCN_031,Deadlift Only,"""ZKCl",Unknown,無畏束方,,0.0,,,,1.0,155.0
IPLCN_032,Deadlift Only,"""ZKC",Unknown,CPT,,0.0,,,,1.0,155.0
IPLCN_034,Deadlift Only,IZKCI 中国张孔,Unknown,康比特 CPT,,0.0,,,,1.0,155.0
IPLCN_036,Deadlift Only,ZERO TO HERO 零到英雄,Unknown,Unknown,,80.0,,,1.0,0.1,155.0
IPLCN_039,Deadlift Only,黄仪栋,M,J20-23,,175.12,,,,,262.5
IPLCN_046,Full Power,杨家成,M,Open,,376.05,,220.0,145.0,240.0,605.0
IPLCN_051,Bench Only,姚宇林,M,Unknown,20231.038,127.24,,,210.0,,210.0
IPLCN_051,Bench Only,曾浩霖,M,Unknown,11519.748500000002,61.06,,,85.0,,85.0
CPA_032,Full Power,庄士豪,Unknown,Unknown,10.0,690.92,82.5,,200.0,125.0,195.0,520.0
CPA_032,Full Power,庄士豪,Unknown,Unknown,10.0,690.92,82.5,,200.0,125.0,195.0,520.0
